rDate,downloads,n
2015-06-30 00:00:00,5000,1
2015-06-30 00:00:00,10000,1
2015-07-31 00:00:00,10,1
2015-07-31 00:00:00,100,2
2015-07-31 00:00:00,500,2
2015-07-31 00:00:00,1000,3
2015-07-31 00:00:00,10000,1
2015-07-31 00:00:00,50000,2
2015-08-31 00:00:00,10,2
2015-08-31 00:00:00,50,2
2015-08-31 00:00:00,100,1
2015-08-31 00:00:00,500,2
2015-08-31 00:00:00,1000,8
2015-08-31 00:00:00,5000,1
2015-08-31 00:00:00,10000,2
2015-08-31 00:00:00,100000,2
2015-09-30 00:00:00,1,1
2015-09-30 00:00:00,5,1
2015-09-30 00:00:00,10,3
2015-09-30 00:00:00,50,6
2015-09-30 00:00:00,100,11
2015-09-30 00:00:00,500,8
2015-09-30 00:00:00,1000,19
2015-09-30 00:00:00,5000,10
2015-09-30 00:00:00,10000,10
2015-09-30 00:00:00,50000,4
2015-09-30 00:00:00,100000,4
2015-09-30 00:00:00,500000,2
2015-09-30 00:00:00,100000000,1
2015-10-31 00:00:00,1,5
2015-10-31 00:00:00,5,2
2015-10-31 00:00:00,10,16
2015-10-31 00:00:00,50,9
2015-10-31 00:00:00,100,24
2015-10-31 00:00:00,500,15
2015-10-31 00:00:00,1000,53
2015-10-31 00:00:00,5000,24
2015-10-31 00:00:00,10000,43
2015-10-31 00:00:00,50000,11
2015-10-31 00:00:00,100000,27
2015-10-31 00:00:00,500000,10
2015-10-31 00:00:00,1000000,10
2015-10-31 00:00:00,10000000,1
2015-11-30 00:00:00,0,4
2015-11-30 00:00:00,1,11
2015-11-30 00:00:00,5,10
2015-11-30 00:00:00,10,46
2015-11-30 00:00:00,50,16
2015-11-30 00:00:00,100,65
2015-11-30 00:00:00,500,25
2015-11-30 00:00:00,1000,97
2015-11-30 00:00:00,5000,63
2015-11-30 00:00:00,10000,161
2015-11-30 00:00:00,50000,76
2015-11-30 00:00:00,100000,152
2015-11-30 00:00:00,500000,55
2015-11-30 00:00:00,1000000,93
2015-11-30 00:00:00,5000000,31
2015-11-30 00:00:00,10000000,33
2015-11-30 00:00:00,50000000,7
2015-11-30 00:00:00,100000000,2
2015-11-30 00:00:00,500000000,1
2015-11-30 00:00:00,1000000000,1
2015-12-31 00:00:00,0,5
2015-12-31 00:00:00,1,9
2015-12-31 00:00:00,5,5
2015-12-31 00:00:00,10,22
2015-12-31 00:00:00,50,17
2015-12-31 00:00:00,100,37
2015-12-31 00:00:00,500,34
2015-12-31 00:00:00,1000,70
2015-12-31 00:00:00,5000,26
2015-12-31 00:00:00,10000,90
2015-12-31 00:00:00,50000,42
2015-12-31 00:00:00,100000,92
2015-12-31 00:00:00,500000,23
2015-12-31 00:00:00,1000000,60
2015-12-31 00:00:00,5000000,18
2015-12-31 00:00:00,10000000,14
2015-12-31 00:00:00,50000000,2
2015-12-31 00:00:00,100000000,5
2016-01-31 00:00:00,0,5
2016-01-31 00:00:00,1,12
2016-01-31 00:00:00,5,5
2016-01-31 00:00:00,10,17
2016-01-31 00:00:00,50,17
2016-01-31 00:00:00,100,52
2016-01-31 00:00:00,500,32
2016-01-31 00:00:00,1000,82
2016-01-31 00:00:00,5000,31
2016-01-31 00:00:00,10000,79
2016-01-31 00:00:00,50000,40
2016-01-31 00:00:00,100000,60
2016-01-31 00:00:00,500000,20
2016-01-31 00:00:00,1000000,17
2016-01-31 00:00:00,5000000,5
2016-01-31 00:00:00,10000000,5
2016-01-31 00:00:00,50000000,1
2016-01-31 00:00:00,1000000000,1
2016-02-29 00:00:00,0,3
2016-02-29 00:00:00,1,6
2016-02-29 00:00:00,5,1
2016-02-29 00:00:00,10,12
2016-02-29 00:00:00,50,8
2016-02-29 00:00:00,100,18
2016-02-29 00:00:00,500,22
2016-02-29 00:00:00,1000,43
2016-02-29 00:00:00,5000,19
2016-02-29 00:00:00,10000,44
2016-02-29 00:00:00,50000,22
2016-02-29 00:00:00,100000,37
2016-02-29 00:00:00,500000,19
2016-02-29 00:00:00,1000000,35
2016-02-29 00:00:00,5000000,8
2016-02-29 00:00:00,10000000,7
2016-02-29 00:00:00,50000000,2
2016-02-29 00:00:00,100000000,1
2016-03-31 00:00:00,0,2
2016-03-31 00:00:00,1,3
2016-03-31 00:00:00,5,1
2016-03-31 00:00:00,10,5
2016-03-31 00:00:00,50,7
2016-03-31 00:00:00,100,20
2016-03-31 00:00:00,500,5
2016-03-31 00:00:00,1000,24
2016-03-31 00:00:00,5000,6
2016-03-31 00:00:00,10000,39
2016-03-31 00:00:00,50000,13
2016-03-31 00:00:00,100000,39
2016-03-31 00:00:00,500000,13
2016-03-31 00:00:00,1000000,22
2016-03-31 00:00:00,5000000,3
2016-03-31 00:00:00,10000000,8
2016-03-31 00:00:00,100000000,1
